TIMESTEP,SID1003MEAN(mm),SID1003MINIMUM(mm),SID1003MAXIMUM(mm),SID1003VARIANCE(mm^2),SID1003STD_DEV(mm),SID1003SUM,SID1003COUNT
1909-04-01T00:00:00Z,21.44372,0,540,6572.0835,81.06839,10038.188,10571
1909-05-01T00:00:00Z,8.936943,0,989.60004,4494.754,67.04292,10038.188,10571
1909-06-01T00:00:00Z,0.15209945,0,198.2,18.978153,4.3563924,10038.188,10571
1909-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1909-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1909-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1909-10-01T00:00:00Z,8.607801,0,289.5,721.96954,26.86949,10038.188,10571
1909-11-01T00:00:00Z,349.7523,0,991.3,50332.75,224.34961,10038.188,10571
1909-12-01T00:00:00Z,33.300446,0,245.6,2159.1736,46.466908,10038.188,10571
1910-01-01T00:00:00Z,22.007235,0,279.9,1870.8203,43.25298,10038.188,10571
1910-02-01T00:00:00Z,46.362022,0,331.9,3791.862,61.5781,10038.188,10571
1910-03-01T00:00:00Z,39.662144,0,435.4,7968.454,89.2662,10038.188,10571
1910-04-01T00:00:00Z,10.327852,0,705.60004,3099.5115,55.673256,10038.188,10571
1910-05-01T00:00:00Z,1.0371724,0,697.4,414.19034,20.351667,10038.188,10571
1910-06-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1910-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1910-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1910-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1910-10-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1910-11-01T00:00:00Z,168.99272,0,747.9,25871.436,160.846,10038.188,10571
1910-12-01T00:00:00Z,20.425716,0,255.1,1554.9207,39.43248,10038.188,10571
1911-01-01T00:00:00Z,82.64383,0,352.80002,6124.6987,78.26045,10038.188,10571
1911-02-01T00:00:00Z,4.523649,0,147.7,219.62718,14.819824,10038.188,10571
1911-03-01T00:00:00Z,19.033495,0,350.4,3079.306,55.491493,10038.188,10571
1911-04-01T00:00:00Z,2.034236,0,503,604.88544,24.59442,10038.188,10571
1911-05-01T00:00:00Z,0.67824227,0,466.6,166.1144,12.888537,10038.188,10571
1911-06-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1911-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1911-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1911-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1911-10-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1911-11-01T00:00:00Z,23.036503,0,370.2,2363.1497,48.612236,10038.188,10571
1911-12-01T00:00:00Z,55.023003,0,324,4460.8,66.78922,10038.188,10571
1912-01-01T00:00:00Z,221.68102,0,790.5,31646.123,177.89357,10038.188,10571
1912-02-01T00:00:00Z,126.46113,0,676.2,19832.174,140.82675,10038.188,10571
1912-03-01T00:00:00Z,8.060939,0,275.80002,1001.23175,31.642246,10038.188,10571
1912-04-01T00:00:00Z,23.210789,0,564.5,5050.5547,71.06725,10038.188,10571
1912-05-01T00:00:00Z,5.598772,0,1004,3230.9717,56.841637,10038.188,10571
1912-06-01T00:00:00Z,0.009862363,0,44.8,0.40325785,0.63502586,10038.188,10571
1912-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1912-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1912-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1912-10-01T00:00:00Z,0.7206565,0,180.40001,43.383812,6.586639,10038.188,10571
1912-11-01T00:00:00Z,92.36816,0,504.2,8631.372,92.90518,10038.188,10571
1912-12-01T00:00:00Z,89.41239,0,381.1,8843.533,94.04006,10038.188,10571
1913-01-01T00:00:00Z,70.94817,0,394.9,6639.1523,81.480995,10038.188,10571
1913-02-01T00:00:00Z,0.92309237,0,92.8,30.698729,5.540643,10038.188,10571
1913-03-01T00:00:00Z,36.21295,0,476.4,5839.6035,76.4173,10038.188,10571
1913-04-01T00:00:00Z,20.42373,0,585.10004,5853.706,76.509514,10038.188,10571
1913-05-01T00:00:00Z,3.199156,0,903.7,1531.1622,39.13007,10038.188,10571
1913-06-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1913-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1913-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1913-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1913-10-01T00:00:00Z,0.004808727,0,15.900001,0.050139375,0.22391823,10038.188,10571
1913-11-01T00:00:00Z,47.55831,0,363.30002,4459.6807,66.78084,10038.188,10571
1913-12-01T00:00:00Z,74.6923,0,300,5478.9746,74.020096,10038.188,10571
